,no_kpts,E
0,1,-13.396627687607376
1,2,-21.738364567129572
2,3,-22.760533730046756
3,4,-22.81245246123574
4,5,-22.76002947155659
5,10,-22.76172514459546
6,15,-22.76165877610641
7,20,-22.76166128470187
8,25,-22.76166046338829
9,30,-22.761660572316693
10,35,-22.76166058342638
11,40,-22.76166108078245
12,45,-22.76166061826643
13,50,-22.76166089439737
14,55,-22.761660928585748
15,60,-22.76166078668492
16,65,-22.76166079274007
17,70,-22.761660797921976
18,75,-22.761660865905824
19,80,-22.761661013307137
